beta,alpha1,alpha2
2.3617305174901047,0.9908282611214773,1.0412087962855945
2.1573324948480073,1.080162610310783,1.067511552629394
1.9840190831368572,1.1139801752190144,1.065272521387906
2.7318324153215205,0.9530579778501913,1.0156105690857695
2.0654485481280402,1.1020393523899872,1.06130439743306
2.142888712278703,1.0838754472612064,1.0676982755298414
1.9602031696858524,1.1002746718329148,1.0491870706845832
1.89385807979166,1.124268513086483,1.069428439143565
2.3568609926981905,1.054487357083211,1.0588073440818067
2.4424730516694866,1.0728578506674902,1.0319603278307876
2.3179442888810193,1.0458149571107316,1.0583974310278752
2.2238869292998444,1.0743270348645086,1.0585650597773817
2.048527379123395,1.085836579665719,1.0491126968552864
2.620019289940247,1.0159143861551063,1.0465047190631844
1.8836041782400696,1.1215003024274592,1.0732248582377886
1.929479099154828,1.1230065442990225,1.0682623224303427
1.9830356822383608,1.0887507785988997,1.059782213987452
2.110669206230204,1.0898171108753734,1.0663687898879965
1.998388795006014,1.100121340154058,1.073771470421807
2.257135302169665,1.06349255096722,1.041734908308434
2.6654024631179007,1.018153643615524,1.027809728676679
2.4749586154947893,1.0099096222401405,1.02633471695099
1.9147044885572186,1.1115340392402295,1.0687048676525532
2.387807395153503,1.0696952383416576,1.0467492019078621
1.8301810140481842,1.1249559665007167,1.053538658306277
1.9791118080240915,1.1091171228712389,1.060739114863805
2.0501019518249435,1.102973477686964,1.0533960046364754
2.0527316255555665,1.0860979126050276,1.062970174345647
1.9332084477553944,1.1123817078469034,1.0487142863881638
2.321980157120663,1.0418291228311498,1.0379706468600634
2.4989196830837144,0.9920359888906096,1.0252169276526424
2.4424730516694866,1.0147597374986668,1.052126131133691
2.5786463310670413,1.0107943239607986,1.0432913519858587
2.370125254915015,1.0337128390220545,1.0585020152779323
2.4834081534342793,1.0115616367946794,1.045415804256101
2.443218841368978,1.0318904046723998,1.0386589709117475
2.315931611294919,1.05617560340084,1.0537595086944318
2.2705858211210987,1.0720179891256032,1.045289094440947
2.4703739661459103,0.9950741508450444,1.025362475336679
2.37223327224422,1.0511846365474709,1.0542058206460045
2.2300850261068343,1.0588284233923073,1.057992118877291
2.2085413784512964,1.0797570288111256,1.069949469110963
2.2648017336647652,1.0678791084585422,1.061185623525167
2.022636084939399,1.1065934476660668,1.0610975599016692
2.356166985034709,1.0418098035346193,1.0577625070664005
2.2006450877105053,1.0839124537876967,1.050967638692519
2.1326083726307394,1.0754264047074744,1.0639309182068803
2.135454115062399,1.080941886878463,1.0485223131040085
2.091361020896252,1.098756661501325,1.0615959858740471
2.077784336666731,1.097232876529078,1.0542551657236818
