Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[infect]	Factor Value[sampling time point]	Unit[time unit]	Factor Value[disease]	Factor Value[organism part]
Sample 6	ERS4146112	SAMEA6380025	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 6	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 6	sequencing assay	ERX3729438	dm10_acute1_R1.fastq.gz	dm10_acute1_R1.fastq.gz	ERR3728258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728258/ERR3728258_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 6	ERS4146112	SAMEA6380025	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute1	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 6	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 6	sequencing assay	ERX3729438	dm10_acute1_R2.fastq.gz	dm10_acute1_R2.fastq.gz	ERR3728258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/008/ERR3728258/ERR3728258_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 7	ERS4146113	SAMEA6380026	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 7	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 7	sequencing assay	ERX3729439	dm10_acute2_R1.fastq.gz	dm10_acute2_R1.fastq.gz	ERR3728259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728259/ERR3728259_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 7	ERS4146113	SAMEA6380026	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute2	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 7	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 7	sequencing assay	ERX3729439	dm10_acute2_R2.fastq.gz	dm10_acute2_R2.fastq.gz	ERR3728259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/009/ERR3728259/ERR3728259_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 8	ERS4146114	SAMEA6380027	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 8	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 8	sequencing assay	ERX3729440	dm10_acute3_R1.fastq.gz	dm10_acute3_R1.fastq.gz	ERR3728260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728260/ERR3728260_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 8	ERS4146114	SAMEA6380027	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute3	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 8	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 8	sequencing assay	ERX3729440	dm10_acute3_R2.fastq.gz	dm10_acute3_R2.fastq.gz	ERR3728260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/000/ERR3728260/ERR3728260_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 9	ERS4146115	SAMEA6380028	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 9	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 9	sequencing assay	ERX3729441	dm10_acute4_R1.fastq.gz	dm10_acute4_R1.fastq.gz	ERR3728261	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728261/ERR3728261_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 9	ERS4146115	SAMEA6380028	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute4	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 9	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 9	sequencing assay	ERX3729441	dm10_acute4_R2.fastq.gz	dm10_acute4_R2.fastq.gz	ERR3728261	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/001/ERR3728261/ERR3728261_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 10	ERS4146116	SAMEA6380029	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 10	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 10	sequencing assay	ERX3729442	dm10_acute5_R1.fastq.gz	dm10_acute5_R1.fastq.gz	ERR3728262	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728262/ERR3728262_1.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
Sample 10	ERS4146116	SAMEA6380029	Mus musculus	C57BL/6	wild type genotype	8 to 12	week	EFO	UO_0000034	female	acute Lymphocytic choriomeningitis virus infection	acute5	blood	plasma cell	cell	P-MTAB-91811	ETH Zurich	P-MTAB-91812	ETH Zurich	P-MTAB-91813	ETH Zurich	Sample 10	PAIRED	PCR	TRANSCRIPTOMIC	not applicable	AMPLICON	300	1	5'-3'-3'-5'	P-MTAB-91814	ETH Zurich	Sample 10	sequencing assay	ERX3729442	dm10_acute5_R2.fastq.gz	dm10_acute5_R2.fastq.gz	ERR3728262	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR372/002/ERR3728262/ERR3728262_2.fastq.gz	Lymphocytic choriomeningitis virus	0	day	acute Lymphocytic choriomeningitis virus infection	blood
